"id, title, price, promo_price, url"
3244546,Конструктор LEGO Minions Бойцы кунг-фу 75550,4429,3699,https://www.detmir.ru/product/index/id/3244546/
3620623,Конструктор LEGO Mickey and Friends Ферма Микки и Дональда 10775,3109,2399,https://www.detmir.ru/product/index/id/3620623/
3405645,Конструктор LEGO Technic Фронтальный погрузчик 42116,1069,,https://www.detmir.ru/product/index/id/3405645/
3594628,Конструктор LEGO Super Heroes Битва в древней деревне 76177,4429,3899,https://www.detmir.ru/product/index/id/3594628/
3777569,Конструктор LEGO Friends Новогодний календарь 41690,2389,,https://www.detmir.ru/product/index/id/3777569/
3244612,Конструктор LEGO Technic Самосвал Volvo 6*6 42114,27589,,https://www.detmir.ru/product/index/id/3244612/
3405649,Конструктор LEGO Technic Квадроцикл 42124,14989,11999,https://www.detmir.ru/product/index/id/3405649/
3498482,Конструктор LEGO Star Wars Истребитель Сопротивления типа X 75297,2149,,https://www.detmir.ru/product/index/id/3498482/
3405552,Конструктор LEGO Friends Пекарня Хартлейк-Сити 41440,1909,1239,https://www.detmir.ru/product/index/id/3405552/
3498483,Конструктор LEGO Star Wars Микрофайтеры AT-AT против таунтауна 75298,2149,,https://www.detmir.ru/product/index/id/3498483/
3244609,Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель 51515,38389,,https://www.detmir.ru/product/index/id/3244609/
3596769,Конструктор LEGO Creator Приключения на космическом шаттле 31117,5389,,https://www.detmir.ru/product/index/id/3596769/
3498477,Конструктор LEGO Vidiyo Битбокс Диджея Пришельца 43104,1789,1159,https://www.detmir.ru/product/index/id/3498477/
3405577,Конструктор LEGO My City Скейт-парк 60290,3139,,https://www.detmir.ru/product/index/id/3405577/
3599722,Конструктор LEGO VIDIYO Robo HipHop Car (Машина Хип-Хоп Робота) 43112,2989,2259,https://www.detmir.ru/product/index/id/3599722/
3594633,Конструктор LEGO Star Wars Шлем пехотинца-разведчика 75305,5989,,https://www.detmir.ru/product/index/id/3594633/
3596882,Конструктор LEGO Disney Princess Ледяной замок 43197,23629,,https://www.detmir.ru/product/index/id/3596882/
3405619,Конструктор LEGO Ninjago Электрический робот Джея 71740,2029,1699,https://www.detmir.ru/product/index/id/3405619/
3597018,Конструктор LEGO Ninjago Водный дракон 71754,7789,,https://www.detmir.ru/product/index/id/3597018/
3405542,Конструктор LEGO Creator Пляжный домик серферов 31118,5389,,https://www.detmir.ru/product/index/id/3405542/
